"sourceName", "author", "title", "description", "url", "urlToImage", "publishedAt", "content"
"CNBC","MacKenzie Sigalos","Bitcoin is poised to blow up Africa's $86 billion banking system - CNBC","CNBC spoke to entrepreneurs in Nigeria and South Africa who have integrated the Lightning Network into mobile money.","https://www.cnbc.com/2023/03/26/bitcoin-is-poised-to-blow-up-africas-86-billion-banking-system.html","https://image.cnbcfm.com/api/v1/image/107215223-1679839185536-signal-2023-03-22-092958_006.jpeg?v=1679839249&w=1920&h=1080","2023-03-26T13:47:39Z","ACCRA, GHANA Block CEO Jack Dorsey and his top brass descended on Accra for the inaugural Africa Bitcoin Conference in December to talk about one of the most potentially disruptive and transformative… [+14353 chars]"
"New York Post","Isabel Keane","Powerball winner buys second multi-million dollar home with winnings - New York Post ","The winner of the $2 billion California Powerball, Edwin Castro, has purchased a $4 million California mansion after dropping $25.5 million on a lavish Hollywood Hills estate earlier this month.","https://nypost.com/2023/03/26/powerball-winner-edwin-castro-buys-second-lavish-home/","https://nypost.com/wp-content/uploads/sites/2/2023/03/NYPICHPDPICT000008802815.jpg?quality=75&strip=all&w=1024","2023-03-26T13:07:00Z","The winner of the $2 billion California Powerball, Edwin Castro, has purchased a $4 million California mansion after dropping $25.5 million on a lavish Hollywood Hills estate earlier this month. Th… [+2272 chars]"
"The Wall Street Journal","Jim Carlton","San Francisco Fights Urban Disorder—and Goes After a Little Free Library - The Wall Street Journal","Inspectors threaten couple with a $1,402 fee, and also target benches and awnings","https://www.wsj.com/articles/san-francisco-fights-urban-disorder-little-free-library-42e9b80a","https://images.wsj.net/im-751038/social","2023-03-26T13:02:00Z","None"
"The Verge","David Pierce","ChatGPT started a new kind of AI race — and made text boxes cool again - The Verge","Open AI’s ChatGPT, Google’s Bard, Microsoft’s Bing, and the rest of the chatbots are all betting that the future of the internet looks a lot like messaging apps. But we’ve been here before.","https://www.theverge.com/2023/3/26/23655456/chatgpt-bard-bing-ai-race-text-boxes","https://cdn.vox-cdn.com/thumbor/rh26SbjmfokCYltxeepJ7-CJI64=/0x0:1800x1200/1200x628/filters:focal(160x588:161x589)/cdn.vox-cdn.com/uploads/chorus_asset/file/24534634/Text_box.jpg","2023-03-26T13:00:00Z","ChatGPT started a new kind of AI race and made text boxes cool againChatGPT started a new kind of AI race and made text boxes cool again / Who would have thought that typing into a chat window, o… [+7458 chars]"
"NBCSports.com","Mike Florio","As broadcasting patterns shift, potential antitrust liability looms for the NFL - NBC Sports","For the most part, the NFL sails through clear, open waters. But there’s an iceberg out there, whether the league is worried about it or not.The shift from traditional, over-the-air TV to streaming could eventually land the league in an antitrust mess, for on…","https://profootballtalk.nbcsports.com/2023/03/26/as-broadcasting-patterns-shift-potential-antitrust-liability-looms-for-the-nfl/","https://profootballtalk.nbcsports.com/wp-content/uploads/sites/25/2021/02/GettyImages-1024265468-e1612401472143.jpg","2023-03-26T12:40:00Z","For the most part, the NFL sails through clear, open waters. But theres an iceberg out there, whether the league is worried about it or not.The shift from traditional, over-the-air TV to streaming … [+3558 chars]"
